#Top: top   Floorplan: synth_1   Part: xcku040-ffva1156-2-i
#Generated by: DELL   on: Fri Aug  2 21:06:56 2024
#Build: Vivado v2017.4   by: xbuild   on: Fri Dec 15 20:55:39 MST 2017
#Package Version: FINAL 2014-05-08
#Package Pin Delay Version: VERS. 2.1 2013-09-19

################################################################################
#INVALID / INCOMPLETE PINOUT
#One or more ports below has an ERROR in its "Board Voltage" column.  Run DRCs for more info.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to LVTTL standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
65,L22,IOB_X1Y71,IO_L10P_T1U_N6_QBC_AD4P_A12_D28_65,191.574,193.500,,,board2_adc2_data_p[2],IN,P,board2_adc2_data_n[2],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,T27,IOB_X1Y82,IO_L15P_T2L_N4_AD11P_A02_D18_65,195.091,197.051,,,board2_adc2_data_p[1],IN,P,board2_adc2_data_n[1],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,T24,IOB_X1Y84,IO_L16P_T2U_N6_QBC_AD3P_A00_D16_65,199.079,201.080,,,board2_adc2_data_p[0],IN,P,board2_adc2_data_n[0],LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,N21,IOB_X1Y99,IO_L23P_T3U_N8_I2C_SCLK_65,155.193,156.753,,,led[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
65,M21,IOB_X1Y100,IO_L23N_T3U_N9_I2C_SDA_65,155.104,156.663,,,led[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
65,M20,IOB_X1Y97,IO_L22P_T3U_N6_DBC_AD0P_D04_65,152.435,153.967,,,led[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
65,L20,IOB_X1Y98,IO_L22N_T3U_N7_DBC_AD0N_D05_65,152.386,153.917,,,led[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,AA25,IOB_X0Y180,IO_L12N_T1U_N11_GC_47,143.847,145.293,,,board1_adc1_clk_n,IN,N,board1_adc1_clk_p,LVDS,,,,,,EQ_NONE,,,true,,,,
47,AA24,IOB_X0Y179,IO_L12P_T1U_N10_GC_47,144.648,146.101,,,board1_adc1_clk_p,IN,P,board1_adc1_clk_n,LVDS,,,,,,EQ_NONE,,,true,,,,
45,AK17,IOB_X0Y75,IO_L12P_T1U_N10_GC_45,147.433,148.915,,,sys_clk_p,IN,P,sys_clk_n,DIFF_SSTL18_I,,,,,,,,,,,,,
47,AC22,IOB_X0Y171,IO_L8P_T1L_N2_AD5P_47,171.341,173.063,,,board1_adc1_spi_ce,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,AC23,IOB_X0Y172,IO_L8N_T1L_N3_AD5N_47,166.066,167.735,,,board1_adc1_spi_io,INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,W24,IOB_X0Y183,IO_L13N_T2L_N1_GC_QBC_47,116.877,118.052,,,board1_adc1_spi_sclk,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
48,AB32,IOB_X0Y235,IO_L13N_T2L_N1_GC_QBC_48,154.193,155.742,,,board1_adc2_clk_n,IN,N,board1_adc2_clk_p,LVDS,,,,,,EQ_NONE,,,true,,,,
48,AA32,IOB_X0Y234,IO_L13P_T2L_N0_GC_QBC_48,151.186,152.706,,,board1_adc2_clk_p,IN,P,board1_adc2_clk_n,LVDS,,,,,,EQ_NONE,,,true,,,,
45,AK16,IOB_X0Y76,IO_L12N_T1U_N11_GC_45,150.516,152.029,,,sys_clk_n,IN,N,sys_clk_p,DIFF_SSTL18_I,,,,,,,,,,,,,
48,AC32,IOB_X0Y232,IO_L12N_T1U_N11_GC_48,168.363,170.055,,,board1_adc2_spi_ce,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
48,AF29,IOB_X0Y214,IO_L4P_T0U_N6_DBC_AD7P_48,174.715,176.471,,,board1_adc2_spi_io,INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
48,AG29,IOB_X0Y215,IO_L4N_T0U_N7_DBC_AD7N_48,182.443,184.276,,,board1_adc2_spi_sclk,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AH11,IOB_X1Y24,IO_L12N_T1U_N11_GC_64,117.998,119.184,,,board2_adc1_clk_n,IN,N,board2_adc1_clk_p,LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AG11,IOB_X1Y23,IO_L12P_T1U_N10_GC_64,117.697,118.879,,,board2_adc1_clk_p,IN,P,board2_adc1_clk_n,LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AK10,IOB_X1Y43,IO_L21P_T3L_N4_AD8P_64,167.987,169.675,,,sd_ncs,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AK13,IOB_X1Y10,IO_L6P_T0U_N10_AD6P_64,119.144,120.342,,,board2_adc1_spi_ce,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AL13,IOB_X1Y11,IO_L6N_T0U_N11_AD6N_64,120.792,122.006,,,board2_adc1_spi_io,INOUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AG10,IOB_X1Y27,IO_L13N_T2L_N1_GC_QBC_64,121.384,122.604,,,board2_adc1_spi_sclk,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
65,M26,IOB_X1Y74,IO_L11N_T1U_N9_GC_A11_D27_65,175.557,177.322,,,board2_adc2_clk_n,IN,N,board2_adc2_clk_p,LVDS_25,,,,,,EQ_NONE,,,true,,,,
65,M25,IOB_X1Y73,IO_L11P_T1U_N8_GC_A10_D26_65,176.065,177.835,,,board2_adc2_clk_p,IN,P,board2_adc2_clk_n,LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AL9,IOB_X1Y44,IO_L21N_T3L_N5_AD8N_64,168.114,169.804,,,sd_mosi,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
65,M24,IOB_X1Y76,IO_L12N_T1U_N11_GC_A09_D25_65,177.434,179.217,,,board2_adc2_spi_ce,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
65,N22,IOB_X1Y91,IO_L19P_T3L_N0_DBC_AD9P_D10_65,159.033,160.631,,,board2_adc2_spi_io,INOUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
65,M22,IOB_X1Y92,IO_L19N_T3L_N1_DBC_AD9N_D11_65,160.144,161.753,,,board2_adc2_spi_sclk,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
65,P20,IOB_X1Y93,IO_L20P_T3L_N2_AD1P_D08_65,152.392,153.924,,,fan_pwm,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AK8,IOB_X1Y49,IO_L24P_T3U_N10_64,168.823,170.520,,,rst_n,IN,,,LVCMOS25,,,,,,,,,,,,,
64,AN8,IOB_X1Y45,IO_L22P_T3U_N6_DBC_AD0P_64,183.767,185.614,,,sd_dclk,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AL8,IOB_X1Y50,IO_L24N_T3U_N11_64,177.396,179.179,,,sd_miso,IN,,,LVCMOS25,,,,,,,,,,,,,
0,AA7,,D02_0,96.901,97.875,,,,,,,,,,,,,,,,,,,,
0,AA9,,CCLK_0,76.165,76.931,,,,,,,,,,,,,,,,,,,,
0,AB7,,D01_DIN_0,96.113,97.079,,,,,,,,,,,,,,,,,,,,
0,AB9,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,3.30,
0,AC7,,D00_MOSI_0,109.003,110.099,,,,,,,,,,,,,,,,,,,,
0,AC9,,TCK_0,90.447,91.356,,,,,,,,,,,,,,,,,,,,
0,AD7,,VBATT,99.004,99.999,,,,,,,,,,,,,,,,,,,,
0,K7,,M0_0,116.937,118.113,,,,,,,,,,,,,,,,,,,,
0,L7,,M1_0,117.400,118.580,,,,,,,,,,,,,,,,,,,,
0,M7,,M2_0,117.821,119.005,,,,,,,,,,,,,,,,,,,,
0,N7,,DONE_0,114.993,116.149,,,,,,,,,,,,,,,,,,,,
0,P7,,POR_OVERRIDE,99.592,100.593,,,,,,,,,,,,,,,,,,,,
0,R7,,PUDC_B_0,92.140,93.066,,,,,,,,,,,,,,,,,,,,
0,T7,,PROGRAM_B_0,91.932,92.856,,,,,,,,,,,,,,,,,,,,
0,U11,,GNDADC,48.510,48.998,,,,,,,,,,,,,,,,,,,,
0,U12,,VCCADC,,,,,,,,,,,,,,,,,,,,,,
0,U7,,RDWR_FCS_B_0,78.707,79.498,,,,,,,,,,,,,,,,,,,,
0,U9,,TDO_0,71.193,71.908,,,,,,,,,,,,,,,,,,,,
0,V11,,VREFN,49.864,50.365,,,,,,,,,,,,,,,,,,,,
0,V7,,INIT_B_0,78.536,79.326,,,,,,,,,,,,,,,,,,,,
0,V9,,TDI_0,64.576,65.225,,,,,,,,,,,,,,,,,,,,
0,W12,,VREFP,57.017,57.590,,,,,,,,,,,,,,,,,,,,
0,W7,,CFGBVS_0,103.046,104.081,,,,,,,,,,,,,,,,,,VCCO_0,3.30,
0,W9,,TMS_0,71.796,72.518,,,,,,,,,,,,,,,,,,,,
0,Y11,,DXN,82.330,83.158,,,,,,,,,,,,,,,,,,,,
0,Y12,,DXP,71.839,72.561,,,,,,,,,,,,,,,,,,,,
0,Y7,,D03_0,80.467,81.275,,,,,,,,,,,,,,,,,,,,
0,Y9,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,3.30,
44,AD24,IOB_X0Y12,IO_T0U_N12_VRP_44,59.499,60.097,,,,,,,,,,,,,,,,,,,,
44,AF25,IOB_X0Y25,IO_T1U_N12_44,84.670,85.521,,,,,,,,,,,,,,,,,,,,
44,AK25,IOB_X0Y38,IO_T2U_N12_44,121.089,122.306,,,,,,,,,,,,,,,,,,,,
44,AM25,IOB_X0Y51,IO_T3U_N12_44,133.691,135.034,,,,,,,,,,,,,,,,,,,,
44,AE21,IOB_X0Y1,IO_L1N_T0L_N1_DBC_44,77.150,77.925,,,,,,,,,,,,,,,,,,,,
44,AD21,IOB_X0Y0,IO_L1P_T0L_N0_DBC_44,71.685,72.405,,,,,,,,,,,,,,,,,,,,
44,AG20,IOB_X0Y3,IO_L2N_T0L_N3_44,86.466,87.335,,,,,,,,,,,,,,,,,,,,
44,AF20,IOB_X0Y2,IO_L2P_T0L_N2_44,77.695,78.475,,,,,,,,,,,,,,,,,,,,
44,AE20,IOB_X0Y5,IO_L3N_T0L_N5_AD15N_44,83.989,84.833,,,,,,,,,,,,,,,,,,,,
44,AD20,IOB_X0Y4,IO_L3P_T0L_N4_AD15P_44,81.466,82.285,,,,,,,,,,,,,,,,,,,,
44,AH21,IOB_X0Y7,IO_L4N_T0U_N7_DBC_AD7N_44,86.886,87.760,,,,,,,,,,,,,,,,,,,,
44,AG21,IOB_X0Y6,IO_L4P_T0U_N6_DBC_AD7P_44,82.330,83.158,,,,,,,,,,,,,,,,,,,,
44,AE23,IOB_X0Y9,IO_L5N_T0U_N9_AD14N_44,69.575,70.274,,,,,,,,,,,,,,,,,,,,
44,AE22,IOB_X0Y8,IO_L5P_T0U_N8_AD14P_44,75.313,76.070,,,,,,,,,,,,,,,,,,,,
44,AG22,IOB_X0Y11,IO_L6N_T0U_N11_AD6N_44,82.905,83.738,,,,,,,,,,,,,,,,,,,,
44,AF22,IOB_X0Y10,IO_L6P_T0U_N10_AD6P_44,78.089,78.873,,,,,,,,,,,,,,,,,,,,
44,AE26,IOB_X0Y14,IO_L7N_T1L_N1_QBC_AD13N_44,95.110,96.066,,,,,,,,,,,,,,,,,,,,
44,AE25,IOB_X0Y13,IO_L7P_T1L_N0_QBC_AD13P_44,95.628,96.589,,,,,,,,,,,,,,,,,,,,
44,AF24,IOB_X0Y16,IO_L8N_T1L_N3_AD5N_44,85.330,86.187,,,,,,,,,,,,,,,,,,,,
44,AF23,IOB_X0Y15,IO_L8P_T1L_N2_AD5P_44,85.162,86.018,,,,,,,,,,,,,,,,,,,,
44,AG25,IOB_X0Y18,IO_L9N_T1L_N5_AD12N_44,89.525,90.425,,,,,,,,,,,,,,,,,,,,
44,AG24,IOB_X0Y17,IO_L9P_T1L_N4_AD12P_44,88.178,89.064,,,,,,,,,,,,,,,,,,,,
44,AJ25,IOB_X0Y20,IO_L10N_T1U_N7_QBC_AD4N_44,89.019,89.913,,,,,,,,,,,,,,,,,,,,
44,AH24,IOB_X0Y19,IO_L10P_T1U_N6_QBC_AD4P_44,86.728,87.600,,,,,,,,,,,,,,,,,,,,
44,AJ24,IOB_X0Y22,IO_L11N_T1U_N9_GC_44,108.056,109.142,,,,,,,,,,,,,,,,,,,,
44,AJ23,IOB_X0Y21,IO_L11P_T1U_N8_GC_44,109.572,110.674,,,,,,,,,,,,,,,,,,,,
44,AH23,IOB_X0Y24,IO_L12N_T1U_N11_GC_44,108.101,109.187,,,,,,,,,,,,,,,,,,,,
44,AH22,IOB_X0Y23,IO_L12P_T1U_N10_GC_44,108.211,109.298,,,,,,,,,,,,,,,,,,,,
44,AK21,IOB_X0Y27,IO_L13N_T2L_N1_GC_QBC_44,132.438,133.769,,,,,,,,,,,,,,,,,,,,
44,AJ21,IOB_X0Y26,IO_L13P_T2L_N0_GC_QBC_44,134.993,136.350,,,,,,,,,,,,,,,,,,,,
44,AK23,IOB_X0Y29,IO_L14N_T2L_N3_GC_44,121.070,122.287,,,,,,,,,,,,,,,,,,,,
44,AK22,IOB_X0Y28,IO_L14P_T2L_N2_GC_44,121.299,122.518,,,,,,,,,,,,,,,,,,,,
44,AM20,IOB_X0Y31,IO_L15N_T2L_N5_AD11N_44,148.839,150.335,,,,,,,,,,,,,,,,,,,,
44,AL20,IOB_X0Y30,IO_L15P_T2L_N4_AD11P_44,145.635,147.099,,,,,,,,,,,,,,,,,,,,
44,AK20,IOB_X0Y33,IO_L16N_T2U_N7_QBC_AD3N_44,135.635,136.998,,,,,,,,,,,,,,,,,,,,
44,AJ20,IOB_X0Y32,IO_L16P_T2U_N6_QBC_AD3P_44,144.323,145.774,,,,,,,,,,,,,,,,,,,,
44,AL23,IOB_X0Y35,IO_L17N_T2U_N9_AD10N_44,129.941,131.247,,,,,,,,,,,,,,,,,,,,
44,AL22,IOB_X0Y34,IO_L17P_T2U_N8_AD10P_44,135.810,137.175,,,,,,,,,,,,,,,,,,,,
44,AL25,IOB_X0Y37,IO_L18N_T2U_N11_AD2N_44,121.670,122.893,,,,,,,,,,,,,,,,,,,,
44,AL24,IOB_X0Y36,IO_L18P_T2U_N10_AD2P_44,122.448,123.679,,,,,,,,,,,,,,,,,,,,
44,AN21,IOB_X0Y40,IO_L19N_T3L_N1_DBC_AD9N_44,158.241,159.831,,,,,,,,,,,,,,,,,,,,
44,AM21,IOB_X0Y39,IO_L19P_T3L_N0_DBC_AD9P_44,148.968,150.465,,,,,,,,,,,,,,,,,,,,
44,AN22,IOB_X0Y42,IO_L20N_T3L_N3_AD1N_44,145.906,147.372,,,,,,,,,,,,,,,,,,,,
44,AM22,IOB_X0Y41,IO_L20P_T3L_N2_AD1P_44,136.422,137.793,,,,,,,,,,,,,,,,,,,,
44,AN24,IOB_X0Y44,IO_L21N_T3L_N5_AD8N_44,141.225,142.644,,,,,,,,,,,,,,,,,,,,
44,AM24,IOB_X0Y43,IO_L21P_T3L_N4_AD8P_44,138.455,139.847,,,,,,,,,,,,,,,,,,,,
44,AP21,IOB_X0Y46,IO_L22N_T3U_N7_DBC_AD0N_44,154.594,156.148,,,,,,,,,,,,,,,,,,,,
44,AP20,IOB_X0Y45,IO_L22P_T3U_N6_DBC_AD0P_44,161.034,162.652,,,,,,,,,,,,,,,,,,,,
44,AP25,IOB_X0Y48,IO_L23N_T3U_N9_44,158.689,160.284,,,,,,,,,,,,,,,,,,,,
44,AP24,IOB_X0Y47,IO_L23P_T3U_N8_44,148.058,149.546,,,,,,,,,,,,,,,,,,,,
44,AP23,IOB_X0Y50,IO_L24N_T3U_N11_44,153.021,154.559,,,,,,,,,,,,,,,,,,,,
44,AN23,IOB_X0Y49,IO_L24P_T3U_N10_44,149.056,150.554,,,,,,,,,,,,,,,,,,,,
44,AD23,,VREF_44,,,,,,,,,,,,,,,,,,,,,,
44,AE24,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,0.00-1.80,
44,AF21,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,0.00-1.80,
44,AH25,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,0.00-1.80,
44,AJ22,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,0.00-1.80,
44,AM23,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,0.00-1.80,
44,AN20,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,0.00-1.80,
45,AP19,IOB_X0Y64,IO_T0U_N12_VRP_45,160.637,162.252,,,,,,,,,,,,,,,,,,,,
45,AJ19,IOB_X0Y77,IO_T1U_N12_45,135.473,136.835,,,,,,,,,,,,,,,,,,,,
45,AH14,IOB_X0Y90,IO_T2U_N12_45,153.481,155.023,,,,,,,,,,,,,,,,,,,,
45,AD14,IOB_X0Y103,IO_T3U_N12_45,143.882,145.328,,,,,,,,,,,,,,,,,,,,
45,AP14,IOB_X0Y53,IO_L1N_T0L_N1_DBC_45,166.303,167.974,,,,,,,,,,,,,,,,,,,,
45,AN14,IOB_X0Y52,IO_L1P_T0L_N0_DBC_45,162.663,164.298,,,,,,,,,,,,,,,,,,,,
45,AP18,IOB_X0Y55,IO_L2N_T0L_N3_45,151.333,152.854,,,,,,,,,,,,,,,,,,,,
45,AN19,IOB_X0Y54,IO_L2P_T0L_N2_45,151.080,152.599,,,,,,,,,,,,,,,,,,,,
45,AN16,IOB_X0Y57,IO_L3N_T0L_N5_AD15N_45,149.318,150.818,,,,,,,,,,,,,,,,,,,,
45,AM17,IOB_X0Y56,IO_L3P_T0L_N4_AD15P_45,146.566,148.039,,,,,,,,,,,,,,,,,,,,
45,AN17,IOB_X0Y59,IO_L4N_T0U_N7_DBC_AD7N_45,154.376,155.928,,,,,,,,,,,,,,,,,,,,
45,AN18,IOB_X0Y58,IO_L4P_T0U_N6_DBC_AD7P_45,149.523,151.026,,,,,,,,,,,,,,,,,,,,
45,AM15,IOB_X0Y61,IO_L5N_T0U_N9_AD14N_45,151.050,152.568,,,,,,,,,,,,,,,,,,,,
45,AM16,IOB_X0Y60,IO_L5P_T0U_N8_AD14P_45,147.752,149.237,,,,,,,,,,,,,,,,,,,,
45,AP15,IOB_X0Y63,IO_L6N_T0U_N11_AD6N_45,169.746,171.452,,,,,,,,,,,,,,,,,,,,
45,AP16,IOB_X0Y62,IO_L6P_T0U_N10_AD6P_45,167.663,169.348,,,,,,,,,,,,,,,,,,,,
45,AM14,IOB_X0Y66,IO_L7N_T1L_N1_QBC_AD13N_45,163.257,164.898,,,,,,,,,,,,,,,,,,,,
45,AL14,IOB_X0Y65,IO_L7P_T1L_N0_QBC_AD13P_45,158.734,160.329,,,,,,,,,,,,,,,,,,,,
45,AM19,IOB_X0Y68,IO_L8N_T1L_N3_AD5N_45,147.897,149.383,,,,,,,,,,,,,,,,,,,,
45,AL19,IOB_X0Y67,IO_L8P_T1L_N2_AD5P_45,151.034,152.552,,,,,,,,,,,,,,,,,,,,
45,AL15,IOB_X0Y70,IO_L9N_T1L_N5_AD12N_45,148.855,150.351,,,,,,,,,,,,,,,,,,,,
45,AK15,IOB_X0Y69,IO_L9P_T1L_N4_AD12P_45,148.497,149.989,,,,,,,,,,,,,,,,,,,,
45,AL17,IOB_X0Y72,IO_L10N_T1U_N7_QBC_AD4N_45,150.381,151.892,,,,,,,,,,,,,,,,,,,,
45,AL18,IOB_X0Y71,IO_L10P_T1U_N6_QBC_AD4P_45,145.104,146.562,,,,,,,,,,,,,,,,,,,,
45,AK18,IOB_X0Y74,IO_L11N_T1U_N9_GC_45,135.966,137.333,,,,,,,,,,,,,,,,,,,,
45,AJ18,IOB_X0Y73,IO_L11P_T1U_N8_GC_45,135.498,136.860,,,,,,,,,,,,,,,,,,,,
45,AH17,IOB_X0Y79,IO_L13N_T2L_N1_GC_QBC_45,126.956,128.232,,,,,,,,,,,,,,,,,,,,
45,AH18,IOB_X0Y78,IO_L13P_T2L_N0_GC_QBC_45,126.469,127.740,,,,,,,,,,,,,,,,,,,,
45,AJ16,IOB_X0Y81,IO_L14N_T2L_N3_GC_45,142.371,143.802,,,,,,,,,,,,,,,,,,,,
45,AH16,IOB_X0Y80,IO_L14P_T2L_N2_GC_45,142.651,144.084,,,,,,,,,,,,,,,,,,,,
45,AG16,IOB_X0Y83,IO_L15N_T2L_N5_AD11N_45,137.318,138.698,,,,,,,,,,,,,,,,,,,,
45,AG17,IOB_X0Y82,IO_L15P_T2L_N4_AD11P_45,137.285,138.665,,,,,,,,,,,,,,,,,,,,
45,AJ14,IOB_X0Y85,IO_L16N_T2U_N7_QBC_AD3N_45,149.656,151.160,,,,,,,,,,,,,,,,,,,,
45,AJ15,IOB_X0Y84,IO_L16P_T2U_N6_QBC_AD3P_45,152.015,153.543,,,,,,,,,,,,,,,,,,,,
45,AH19,IOB_X0Y87,IO_L17N_T2U_N9_AD10N_45,125.646,126.909,,,,,,,,,,,,,,,,,,,,
45,AG19,IOB_X0Y86,IO_L17P_T2U_N8_AD10P_45,128.592,129.884,,,,,,,,,,,,,,,,,,,,
45,AG14,IOB_X0Y89,IO_L18N_T2U_N11_AD2N_45,147.339,148.820,,,,,,,,,,,,,,,,,,,,
45,AG15,IOB_X0Y88,IO_L18P_T2U_N10_AD2P_45,141.412,142.833,,,,,,,,,,,,,,,,,,,,
45,AD18,IOB_X0Y92,IO_L19N_T3L_N1_DBC_AD9N_45,119.533,120.734,,,,,,,,,,,,,,,,,,,,
45,AD19,IOB_X0Y91,IO_L19P_T3L_N0_DBC_AD9P_45,119.501,120.702,,,,,,,,,,,,,,,,,,,,
45,AF14,IOB_X0Y94,IO_L20N_T3L_N3_AD1N_45,136.560,137.932,,,,,,,,,,,,,,,,,,,,
45,AF15,IOB_X0Y93,IO_L20P_T3L_N2_AD1P_45,136.400,137.771,,,,,,,,,,,,,,,,,,,,
45,AF18,IOB_X0Y96,IO_L21N_T3L_N5_AD8N_45,119.478,120.679,,,,,,,,,,,,,,,,,,,,
45,AE18,IOB_X0Y95,IO_L21P_T3L_N4_AD8P_45,120.108,121.315,,,,,,,,,,,,,,,,,,,,
45,AE15,IOB_X0Y98,IO_L22N_T3U_N7_DBC_AD0N_45,131.141,132.459,,,,,,,,,,,,,,,,,,,,
45,AE16,IOB_X0Y97,IO_L22P_T3U_N6_DBC_AD0P_45,127.004,128.280,,,,,,,,,,,,,,,,,,,,
45,AF17,IOB_X0Y100,IO_L23N_T3U_N9_45,120.398,121.608,,,,,,,,,,,,,,,,,,,,
45,AE17,IOB_X0Y99,IO_L23P_T3U_N8_45,119.569,120.770,,,,,,,,,,,,,,,,,,,,
45,AD15,IOB_X0Y102,IO_L24N_T3U_N11_45,127.096,128.373,,,,,,,,,,,,,,,,,,,,
45,AD16,IOB_X0Y101,IO_L24P_T3U_N10_45,126.136,127.404,,,,,,,,,,,,,,,,,,,,
45,AD17,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,AE14,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,AF19,,VREF_45,,,,,,,,,,,,,,,,,,,,,,
45,AG18,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,AH15,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,AK19,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,AL16,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,AP17,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
46,AG26,IOB_X0Y116,IO_T0U_N12_VRP_46,119.662,120.865,,,,,,,,,,,,,,,,,,,,
46,AM31,IOB_X0Y129,IO_T1U_N12_46,154.338,155.890,,,,,,,,,,,,,,,,,,,,
46,AH29,IOB_X0Y142,IO_T2U_N12_46,132.581,133.913,,,,,,,,,,,,,,,,,,,,
46,AK33,IOB_X0Y155,IO_T3U_N12_46,172.257,173.989,,,,,,,,,,,,,,,,,,,,
46,AJ26,IOB_X0Y105,IO_L1N_T0L_N1_DBC_46,128.029,129.316,,,,,,,,,,,,,,,,,,,,
46,AH26,IOB_X0Y104,IO_L1P_T0L_N0_DBC_46,121.725,122.949,,,,,,,,,,,,,,,,,,,,
46,AM27,IOB_X0Y107,IO_L2N_T0L_N3_46,139.035,140.432,,,,,,,,,,,,,,,,,,,,
46,AM26,IOB_X0Y106,IO_L2P_T0L_N2_46,146.640,148.114,,,,,,,,,,,,,,,,,,,,
46,AK27,IOB_X0Y109,IO_L3N_T0L_N5_AD15N_46,139.538,140.940,,,,,,,,,,,,,,,,,,,,
46,AK26,IOB_X0Y108,IO_L3P_T0L_N4_AD15P_46,142.426,143.858,,,,,,,,,,,,,,,,,,,,
46,AL28,IOB_X0Y111,IO_L4N_T0U_N7_DBC_AD7N_46,131.594,132.916,,,,,,,,,,,,,,,,,,,,
46,AL27,IOB_X0Y110,IO_L4P_T0U_N6_DBC_AD7P_46,134.125,135.473,,,,,,,,,,,,,,,,,,,,
46,AH28,IOB_X0Y113,IO_L5N_T0U_N9_AD14N_46,121.312,122.532,,,,,,,,,,,,,,,,,,,,
46,AH27,IOB_X0Y112,IO_L5P_T0U_N8_AD14P_46,126.168,127.436,,,,,,,,,,,,,,,,,,,,
46,AK28,IOB_X0Y115,IO_L6N_T0U_N11_AD6N_46,128.332,129.621,,,,,,,,,,,,,,,,,,,,
46,AJ28,IOB_X0Y114,IO_L6P_T0U_N10_AD6P_46,119.718,120.921,,,,,,,,,,,,,,,,,,,,
46,AP26,IOB_X0Y118,IO_L7N_T1L_N1_QBC_AD13N_46,176.670,178.445,,,,,,,,,,,,,,,,,,,,
46,AN26,IOB_X0Y117,IO_L7P_T1L_N0_QBC_AD13P_46,167.403,169.086,,,,,,,,,,,,,,,,,,,,
46,AP29,IOB_X0Y120,IO_L8N_T1L_N3_AD5N_46,157.953,159.540,,,,,,,,,,,,,,,,,,,,
46,AP28,IOB_X0Y119,IO_L8P_T1L_N2_AD5P_46,164.091,165.740,,,,,,,,,,,,,,,,,,,,
46,AN28,IOB_X0Y122,IO_L9N_T1L_N5_AD12N_46,165.088,166.748,,,,,,,,,,,,,,,,,,,,
46,AN27,IOB_X0Y121,IO_L9P_T1L_N4_AD12P_46,167.588,169.272,,,,,,,,,,,,,,,,,,,,
46,AP30,IOB_X0Y124,IO_L10N_T1U_N7_QBC_AD4N_46,162.315,163.946,,,,,,,,,,,,,,,,,,,,
46,AN29,IOB_X0Y123,IO_L10P_T1U_N6_QBC_AD4P_46,152.126,153.655,,,,,,,,,,,,,,,,,,,,
